2016-06-10	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-11	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-12	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-13	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-14	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-15	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-16	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-17	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-18	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-19	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-20	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-21	100%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%
2016-06-22	100%	44.22%	40.64%	39.84%	39.84%	0%	0%	0%
2016-06-23	100%	11.47%	9.66%	8.05%	0%	0%	0%	0%
2016-06-24	100%	1.61%	0%	0%	0%	0%	0%	0%
2016-06-25	100%	2.68%	0%	0%	0%	0%	0%	0%
2016-06-26	100%	2.05%	0%	0%	0%	0%	0%	0%
2016-06-27	100%	0.76%	0%	0%	0%	0%	0%	0%
2016-06-28	100%	0.64%	0%	0%	0%	0%	0%	0%
2016-06-29	100%	7.78%	6.67%	0%	0%	0%	0%	0%
2016-06-30	100%	3.38%	0%	0%	0%	0%	0%	0%
2016-08-01	100%	1.44%	0%	0%	0%	0%	0%	0%
2016-08-02	100%	0.58%	0%	0%	0%	0%	0%	0%
2016-08-03	100%	0%	0%	0%	0%	0%	0%	0%
2016-08-04	100%	0%	0%	0%	0%	0%	0%	0%
2016-08-05	100%	0%	0%	0%	0%	0%	0%	0%
2016-08-06	100%	0%	0%	0%	0%	0%	0%	0%
2016-08-07	100%	2.34%	0.58%	0%	0%	0%	0%	0%
2016-08-08	100%	2.87%	1.13%	0.56%	0.56%	0.56%	0%	0%
2016-08-09	100%	13.86%	5.26%	5.26%	5.26%	0%	0%	0%
2016-08-10	100%	3.58%	1.59%	1.19%	0%	0%	0%	0%
2016-08-11	100%	3.55%	0.89%	0%	0%	0%	0%	0%
2016-08-12	100%	2.43%	0%	0%	0%	0%	0%	0%
2016-08-13	100%	2.01%	0%	0%	0%	0%	0%	0%
2016-08-14	100%	1.58%	0%	0%	0%	0%	0%	0%
2016-08-15	100%	3.96%	0%	0%	0%	0%	0%	0%
2016-08-16	100%	1.24%	0%	0%	0%	0%	0%	0%
2016-08-17	100%	0.72%	0%	0%	0%	0%	0%	0%
2016-08-18	100%	1.33%	0%	0%	0%	0%	0%	0%
2016-08-19	100%	0.28%	0%	0%	0%	0%	0%	0%
2016-08-20	100%	3.84%	3.23%	3.23%	0%	0%	0%	0%
2016-08-21	100%	6.39%	4.44%	0%	0%	0%	0%	0%
2016-08-22	100%	2.75%	0%	0%	0%	0%	0%	0%
2016-08-23	100%	0%	0%	0%	0%	0%	0%	0%
2016-08-24	100%	1.72%	0%	0%	0%	0%	0%	0%
2016-08-25	100%	3.07%	0%	0%	0%	0%	0%	0%
2016-08-26	100%	3.28%	0%	0%	0%	0%	0%	0%
2016-08-27	100%	20.92%	1.45%	0.61%	0%	0%	0%	0%
2016-08-28	100%	7.2%	3.09%	0%	0%	0%	0%	0%
2016-08-29	100%	3.92%	0.69%	0%	0%	0%	0%	0%
2016-08-30	100%	2.33%	0.29%	0%	0%	0%	0%	0%
2016-08-31	100%	24.07%	21.66%	21.23%	0%	0%	0%	0%
2016-09-01	100%	10.63%	9.14%	0%	0%	0%	0%	0%
2016-09-02	100%	4.57%	0.54%	0%	0%	0%	0%	0%
2016-09-03	100%	3.03%	0%	0%	0%	0%	0%	0%
2016-09-04	100%	2.77%	0%	0%	0%	0%	0%	0%
2016-09-05	100%	0.33%	0%	0%	0%	0%	0%	0%
2016-09-06	100%	0.7%	0%	0%	0%	0%	0%	0%
2016-09-07	100%	3.14%	0.78%	0.78%	0%	0%	0%	0%
2016-09-08	100%	1.97%	0.66%	0%	0%	0%	0%	0%
2016-09-09	100%	4%	0%	0%	0%	0%	0%	0%
2016-09-10	100%	1.68%	0%	0%	0%	0%	0%	0%
2016-09-11	100%	0.96%	0%	0%	0%	0%	0%	0%
2016-09-12	100%	1.25%	0%	0%	0%	0%	0%	0%
2016-09-13	100%	2.27%	0%	0%	0%	0%	0%	0%
2016-09-14	100%	2.12%	0%	0%	0%	0%	0%	0%
2016-09-15	100%	1.37%	0%	0%	0%	0%	0%	0%
2016-09-16	100%	0.71%	0%	0%	0%	0%	0%	0%
2016-09-17	100%	0.39%	0%	0%	0%	0%	0%	0%
2016-09-18	100%	2.19%	0%	0%	0%	0%	0%	0%
2016-09-19	100%	0%	0%	0%	0%	0%	0%	0%
2016-09-20	100%	0.53%	0%	0%	0%	0%	0%	0%
2016-09-21	100%	1.59%	0%	0%	0%	0%	0%	0%
2016-09-22	100%	1.58%	0%	0%	0%	0%	0%	0%
2016-09-23	100%	2.16%	0.54%	0%	0%	0%	0%	0%
2016-09-24	100%	2.52%	0%	0%	0%	0%	0%	0%
2016-09-25	100%	1.62%	0%	0%	0%	0%	0%	0%
2016-09-26	100%	4.55%	0%	0%	0%	0%	0%	0%
2016-09-27	100%	0.55%	0%	0%	0%	0%	0%	0%
2016-09-28	100%	0.66%	0%	0%	0%	0%	0%	0%
2016-09-29	100%	0%	0%	0%	0%	0%	0%	0%
2016-09-30	100%	1.62%	0%	0%	0%	0%	0%	0%
2016-10-01	100%	0.6%	0%	0%	0%	0%	0%	0%
2016-10-02	100%	1.91%	0%	0%	0%	0%	0%	0%
2016-10-03	100%	1.16%	0%	0%	0%	0%	0%	0%
2016-10-04	100%	1.4%	0%	0%	0%	0%	0%	0%
2016-10-05	100%	0.65%	0%	0%	0%	0%	0%	0%
2016-10-06	100%	2.34%	0%	0%	0%	0%	0%	0%
2016-10-07	100%	0.94%	0%	0%	0%	0%	0%	0%
2016-10-08	100%	2%	0%	0%	0%	0%	0%	0%
2016-10-09	100%	1.5%	0.5%	0%	0%	0%	0%	0%
2016-10-10	100%	1.93%	0%	0%	0%	0%	0%	0%
2016-10-11	100%	0%	0%	0%	0%	0%	0%	0%
2016-10-12	100%	1.76%	0%	0%	0%	0%	0%	0%
2016-10-13	100%	1.08%	0%	0%	0%	0%	0%	0%
2016-10-14	100%	3.31%	0%	0%	0%	0%	0%	0%
2016-10-15	100%	0.48%	0%	0%	0%	0%	0%	0%
2016-10-16	100%	1%	0%	0%	0%	0%	0%	0%
2016-10-17	100%	0.78%	0%	0%	0%	0%	0%	0%
2016-10-18	100%	1.36%	0.68%	0%	0%	0%	0%	0%
2016-10-19	100%	0.78%	0%	0%	0%	0%	0%	0%
2016-10-20	100%	0.74%	0%	0%	0%	0%	0%	0%
2016-10-21	100%	0%	0%	0%	0%	0%	0%	0%
2016-10-22	100%	2.56%	0%	0%	0%	0%	0%	0%
2016-10-23	100%	1.17%	0%	0%	0%	0%	0%	0%
2016-10-24	100%	1.18%	0%	0%	0%	0%	0%	0%
2016-10-25	100%	0%	0%	0%	0%	0%	0%	0%
2016-10-26	100%	3.66%	2.44%	0%	0%	0%	0%	0%
2016-10-27	100%	1.87%	0%	0%	0%	0%	0%	0%
2016-10-28	100%	0%	0%	0%	0%	0%	0%	0%
2016-10-29	100%	1.4%	0%	0%	0%	0%	0%	0%
2016-10-30	100%	3.21%	0%	0%	0%	0%	0%	0%
2016-10-31	100%	0%	0%	0%	0%	0%	0%	0%
